speech_id,work,loci,spkr,addr,book,line,text,level,urn
1,Iliad,1.17-1.21,Chryses,"Agamemnon, Greeks",1,17,"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.17
1,Iliad,1.17-1.21,Chryses,"Agamemnon, Greeks",1,18,ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματʼ ἔχοντες,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.18
1,Iliad,1.17-1.21,Chryses,"Agamemnon, Greeks",1,19,"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δʼ οἴκαδʼ ἱκέσθαι·",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.19
1,Iliad,1.17-1.21,Chryses,"Agamemnon, Greeks",1,20,"παῖδα δʼ ἐμοὶ λύσαιτε φίλην, τὰ δʼ ἄποινα δέχεσθαι,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.20
1,Iliad,1.17-1.21,Chryses,"Agamemnon, Greeks",1,21,ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.21
2,Iliad,1.26-1.32,Agamemnon,Chryses,1,26,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.26
2,Iliad,1.26-1.32,Agamemnon,Chryses,1,27,"ἢ νῦν δηθύνοντʼ ἢ ὕστερον αὖτις ἰόντα,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.27
2,Iliad,1.26-1.32,Agamemnon,Chryses,1,28,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.28
2,Iliad,1.26-1.32,Agamemnon,Chryses,1,29,τὴν δʼ ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.29
2,Iliad,1.26-1.32,Agamemnon,Chryses,1,30,ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.30
2,Iliad,1.26-1.32,Agamemnon,Chryses,1,31,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.31
2,Iliad,1.26-1.32,Agamemnon,Chryses,1,32,ἀλλʼ ἴθι μή μʼ ἐρέθιζε σαώτερος ὥς κε νέηαι.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.32
3,Iliad,1.37-1.42,Chryses,Apollo,1,37,"κλῦθί μευ ἀργυρότοξʼ, ὃς Χρύσην ἀμφιβέβηκας",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.37
3,Iliad,1.37-1.42,Chryses,Apollo,1,38,"Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.38
3,Iliad,1.37-1.42,Chryses,Apollo,1,39,"Σμινθεῦ εἴ ποτέ τοι χαρίεντʼ ἐπὶ νηὸν ἔρεψα,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.39
3,Iliad,1.37-1.42,Chryses,Apollo,1,40,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρίʼ ἔκηα,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.40
3,Iliad,1.37-1.42,Chryses,Apollo,1,41,"ταύρων ἠδʼ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ·",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.41
3,Iliad,1.37-1.42,Chryses,Apollo,1,42,τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.42
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,59,Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.59
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,60,"ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.60
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,61,εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.61
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,62,ἀλλʼ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.62
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,63,"ἢ καὶ ὀνειροπόλον, καὶ γάρ τʼ ὄναρ ἐκ Διός ἐστιν,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.63
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,64,"ὅς κʼ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.64
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,65,"εἴτʼ ἄρʼ ὅ γʼ εὐχωλῆς ἐπιμέμφεται ἠδʼ ἑκατόμβης,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.65
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,66,αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.66
4,Iliad,1.59-1.67,Achilles,Agamemnon,1,67,βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.67
5,Iliad,1.74-1.83,Calchas,Achilles,1,74,ὦ Ἀχιλεῦ κέλεαί με Διῒ φίλε μυθήσασθαι,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.74
