eud_seq,eud_line,hom_work,hom_book,hom_line,hom_ref,rep-in-Eud,line-with-segments,segment,cluster-in-eud,coefficient,dec_line,dec_speech,hom_text,all-lemma-same,hom_urn,eud_cluster,eud_part,eud_spkr,eud_spkr_gender,eud_spkr_being,eud_addr_first,eud_addr_all,eud_addr_gender_first,eud_addr_gender_all,eud_addr_being_first,eud_addr_being_all,eud_from_first,eud_from_last,hom_seq,hom_from_first,hom_from_last,hom_cluster,hom_part,hom_level,hom_tags,hom_spkr,hom_spkr_disg,hom_spkr_char,hom_spkr_gender,hom_spkr_gender_char,hom_spkr_being,hom_spkr_being_char,hom_addr_first,hom_addr_all,hom_addr_gender_first,hom_addr_gender_all,hom_addr_being_first,hom_addr_being_all,coefficient,notes,deception notes BV
1,42,Il.,7,28,Il.7.28,2,2,2,FALSE,2,unclassified,unclassified,ἀλλʼ εἴ μοί τι πίθοιο τό κεν πολὺ κέρδιον εἴη,TRUE,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,0,-24,178,4,-4,1101,1,0,que,Apollo,Apollo,Apollo,male,male,divine,divine,Athena,Athena,female,female,divine,divine,0.25,,"good, truthful advice"
1,42,Il.,14,190,Il.14.190,2,2,1,TRUE,1,None,None,ἦ ῥά νύ μοί τι πίθοιο φίλον τέκος ὅττί κεν εἴπω,TRUE,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,0,-24,366,0,-2,1200,1,0,que,Hera,Hera,Hera,female,female,divine,divine,Aphrodite,Aphrodite,female,female,divine,divine,0.50,,context of persuasion/deception
1,42,Od.,20,381,Od.20.381,2,2,2,FALSE,2,None,None,ἀλλʼ εἴ μοί τι πίθοιο τό κεν πολὺ κέρδιον εἴη,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,0,-24,551,5,-2,2217,1,0,del,suitor of Penelope,suitor of Penelope,suitor of Penelope,male,male,mortal,mortal,Telemachus,Telemachus,male,male,mortal,mortal,0.25,,bad advice
1,43,Il.,14,191,Il.14.191,1,1,1,TRUE,1,None,None,ἦέ κεν ἀρνήσαιο κοτεσσαμένη τό γε θυμῷ,TRUE,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,1,-23,366,1,-1,1200,1,0,que,Hera,Hera,Hera,female,female,divine,divine,Aphrodite,Aphrodite,female,female,divine,divine,1.00,,context of persuasion/deception
1,44,Od.,11,146,Od.11.146,1,1,1,FALSE,1,None,None,ῥηΐδιόν τοι ἔπος ἐρέω καὶ ἐπὶ φρεσὶ θήσω,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,2,-22,247,0,-3,2102,4,1,res,Teiresias,Teiresias,Teiresias,male,male,mortal,mortal,Odysseus,Odysseus,male,male,mortal,mortal,1.00,,context of true prophecy
1,45,Il.,10,324,Il.10.324,1,1,1,FALSE,1,unclassified,unclassified,σοὶ δʼ ἐγὼ οὐχ ἅλιος σκοπὸς ἔσσομαι οὐδʼ ἀπὸ δόξης,TRUE,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,3,-21,273,5,-3,1145,2,0,res; req,Dolon,Dolon,Dolon,male,male,mortal,mortal,Hector,"Hector, Trojans",male,other,mortal,mortal,1.00,,false promise
1,46,Od.,19,269,Od.19.269,3,1,1,FALSE,1,Strong,Strong,νημερτέως γάρ τοι μυθήσομαι οὐδʼ ἐπικεύσω,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,4,-20,506,7,-38,2198,8,0,con; nar,Odysseus-beggar,beggar,Odysseus,male,male,mortal,mortal,Penelope,Penelope,female,female,mortal,mortal,1.00,,introducing a mix of thruths and false information
1,47,Od.,4,565,Od.4.565,1,1,1,TRUE,1,None,None,τῇ περ ῥηίστη βιοτὴ πέλει ἀνθρώποισιν,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,5,-19,91,10,-4,2028,8,1,inf,Proteus,Proteus,Proteus,male,male,divine,divine,Menelaus,Menelaus,male,male,mortal,mortal,1.00,,description of elyseian fields
1,48,Od.,4,566,Od.4.566,1,1,1,TRUE,1,None,None,οὐ νιφετός οὔτʼ ἂρ χειμὼν πολὺς οὔτε ποτʼ ὄμβρος,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,6,-18,91,11,-3,2028,8,1,inf,Proteus,Proteus,Proteus,male,male,divine,divine,Menelaus,Menelaus,male,male,mortal,mortal,1.00,,description of elyseian fields
1,49,Od.,4,567,Od.4.567,1,1,1,TRUE,1,None,None,ἀλλʼ αἰεὶ Ζεφύροιο λιγὺ πνείοντος ἀήτας,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,7,-17,91,12,-2,2028,8,1,inf,Proteus,Proteus,Proteus,male,male,divine,divine,Menelaus,Menelaus,male,male,mortal,mortal,1.00,,description of elyseian fields
1,50,Il.,18,471,Il.18.471,1,1,1,FALSE,1,None,None,παντοίην εὔπρηστον ἀϋτμὴν ἐξανιεῖσαι,TRUE,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,8,-16,0,0,0,0,0,0,0,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,1.00,,description of the Shield
1,51,Od.,9,108,Od.9.108,1,1,1,TRUE,1,None,None,οὔτε φυτεύουσιν χερσὶν φυτὸν οὔτʼ ἀρόωσιν,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,9,-15,192,106,-1130,2077,2,0,nar; inf; res,Odysseus,Odysseus,Odysseus,male,male,mortal,mortal,Alcinous,Alcinous,male,male,mortal,mortal,1.00,,description of land of the Cyclopes
1,52,Od.,9,109,Od.9.109,1,1,1,TRUE,1,None,None,ἀλλὰ τά γʼ ἄσπαρτα καὶ ἀνήροτα πάντα φύονται,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,10,-14,192,107,-1129,2077,2,0,nar; inf; res,Odysseus,Odysseus,Odysseus,male,male,mortal,mortal,Alcinous,Alcinous,male,male,mortal,mortal,1.00,,description of land of the Cyclopes
1,53,Od.,15,407,Od.15.407,1,1,1,TRUE,1,None,None,πείνη δʼ οὔ ποτε δῆμον ἐσέρχεται οὐδέ τις ἄλλη,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,11,-13,355,17,-77,2142,6,0,res; inf; nar,Eumaeus,Eumaeus,Eumaeus,male,male,mortal,mortal,Odysseus-beggar,Odysseus-beggar,male,male,mortal,mortal,1.00,,description of land of Syria (Eumaeus' story with fairytale-like qualities)
1,54,Od.,15,408,Od.15.408,1,1,1,TRUE,1,None,None,νοῦσος ἐπὶ στυγερὴ πέλεται δειλοῖσι βροτοῖσιν,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,12,-12,355,18,-76,2142,6,0,res; inf; nar,Eumaeus,Eumaeus,Eumaeus,male,male,mortal,mortal,Odysseus-beggar,Odysseus-beggar,male,male,mortal,mortal,1.00,,description of land of Syria (Eumaeus' story with fairytale-like qualities)
1,55,Od.,7,114,Od.7.114,1,1,1,FALSE,1,None,None,ἔνθα δὲ δένδρεα μακρὰ πεφύκασι τηλεθόωντα,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,13,-11,0,0,0,0,0,0,0,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,1.00,,description of land of the Phaeacians
1,56,Od.,7,116,Od.7.116,1,1,1,TRUE,2,None,None,συκέαι τε γλυκεραὶ καὶ ἐλαῖαι τηλεθόωσαι,TRUE,urn:cts:greekLit:tlg0012.tlg002.perseus-grc2,27001,1,snake,other,other,Eve,Eve,female,female,mortal,mortal,14,-10,0,0,0,0,0,0,0,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,Narrator,0.50,,description of land of the Phaeacians
